170;T20;T20;BULLSEYE;
167;T20;T19;BULLSEYE;
164;T20;T18;BULLSEYE;
161;T20;T17;BULLSEYE;
160;T20;T20;D20;
158;T20;T20;D19;
157;T20;T19;D20;
156;T20;T20;D18;
155;T20;T19;D19;
154;T20;T18;D20;
153;T20;T19;D18;
152;T20;T20;D16;
151;T20;T17;D20;
150;T20;T18;D18;
149;T20;T19;D16;
148;T20;T20;D14;
147;T20;T17;D18;
146;T20;T18;D16;
145;T20;T19;D14;
144;T20;T20;D12;
143;T20;T17;D16;
142;T20;T14;D20;
141;T20;T19;D12;
140;T20;T20;D10;
139;T20;T13;D20;
138;T20;T18;D12;
137;T20;T19;D10;
136;T20;T20;D8;
135;T20;T17;D12;
134;T20;T16;D13;
133;T20;T19;D8;
132;T20;T16;D12;
131;T19;T14;D16;
130;T20;T20;D5;
129;T19;T16;D12;
128;T18;T14;D16;
127;T20;T17;D8;
126;T19;T19;D6;
125;T18;T19;D7;
124;T20;T14;D11;
123;T19;T16;D9;
122;T18;T18;D7;
121;T20;T11;D14;
120;T20;20;D20;
119;T19;T12;D13;
118;T20;18;D20;
117;T19;20;D20;
116;T19;19;D20;
115;T20;15;D20;
114;T19;17;D20;
113;T19;16;D20;
112;T20;T12;D8;
111;T19;14;D20;
110;T20;T10;D10;
109;T20;9;D20;
108;T20;16;D16;
107;T19;T10;D10;
106;T20;T10;D8;
105;T20;13;D16;
104;T19;15;D16;
103;T19;6;D20;
102;T20;10;D16;
101;T20;9;D16;
100;T20;D20;;
99;T19;10;D16;
98;T20;D19;;
97;T19;D20;;
96;T20;D18;;
95;T19;D19;;
94;T18;D20;;
93;T19;D18;;
92;T20;D16;;
91;T17;D20;;
90;T20;D15;;
89;T19;D16;;
88;T20;D14;;
87;T17;D18;;
86;T18;D16;;
85;T15;D20;;
84;T20;D12;;
83;T17;D16;;
82;BULLSEYE;D16;;
81;T19;D12;;
80;T20;D10;;
79;T19;D11;;
78;T18;D12;;
77;T19;D10;;
76;T16;D14;;
75;T17;D12;;
74;T14;D16;;
73;T19;D8;;
72;T20;D6;;
71;T13;D16;;
70;T18;D8;;
69;T19;D6;;
68;T16;D10;;
67;T9;D20;;
66;T10;D18;;
65;T11;D16;;
64;T16;D8;;
63;T13;D12;;
62;T10;D16;;
61;T15;D8;;
60;20;D20;;
59;19;D20;;
58;18;D20;;
57;17;D20;;
56;T16;D4;;
55;15;D20;;
54;14;D20;;
53;13;D20;;
52;12;D20;;
51;11;D20;;
50;10;D20;;
49;9;D20;;
48;16;D16;;
47;7;D20;;
46;6;D20;;
45;13;D16;;
44;12;D16;;
43;3;D20;;
42;10;D16;;
41;9;D16;;
40;D20;;;
39;19;D10;;
38;D19;;;
37;17;D10;;
36;D18;;;
35;5;D15;;
34;D17;;;
33;3;D15;;
32;D16;;;
31;11;D10;;
30;D15;;;
29;9;D10;;
28;D14;;;
27;7;D10;;
26;D13;;;
25;5;D10;;
24;D12;;;
23;3;D10;;
22;D11;;;
21;1;D10;;
20;D10;;;
19;9;D5;;
18;D9;;;
17;7;D5;;
16;D8;;;
15;5;D5;;
14;D7;;;
13;3;D5;;
12;D6;;;
11;1;D5;;
10;D5;;;
9;1;D4;;
8;D4;;;
7;1;D3;;
6;D3;;;
5;1;D2;;
4;D2;;;
3;1;D1;;
2;D1;;;